0.012,0.012,100,20,20000,1200000,0.81,0.78,9,11
0.014,0.012,100,20,0,500000,0.86,0.88,7,10
0.015,0.009,100,20,100000,2000000,0.79,0.79,7,8
0.006,0.013,100,20,20000,1000000,0.72,0.81,13,9
0.004,0.006,100,20,1000,1600000,0.82,0.72,13,8
0.011,0.006,100,20,100000,1400000,0.82,0.79,8,8
0.012,0.004,100,20,100000,1600000,0.73,0.85,13,7
0.005,0.013,100,20,20000,700000,0.75,0.73,13,8
0.013,0.01,100,20,200000,900000,0.87,0.79,9,7
0.009,0.012,100,20,0,1000000,0.88,0.77,12,13
0.011,0.005,100,20,0,900000,0.77,0.71,11,9
0.004,0.012,100,20,20000,1400000,0.78,0.87,11,10
0.009,0.009,100,20,10000,1600000,0.89,0.73,13,13
0.012,0.008,100,20,100000,2000000,0.76,0.72,13,13
0.012,0.013,100,20,20000,1200000,0.8,0.74,10,7
0.012,0.004,100,20,1000,1800000,0.9,0.72,13,8
0.015,0.015,100,20,100000,700000,0.71,0.72,10,13
0.011,0.014,100,20,1000,1200000,0.78,0.86,12,9
0.005,0.007,100,20,100000,1400000,0.73,0.85,9,12
0.015,0.008,100,20,50000,1400000,0.9,0.73,8,8
0.007,0.005,100,20,10000,1200000,0.88,0.75,9,8
0.007,0.014,100,20,1000,700000,0.87,0.77,8,12
0.014,0.01,100,20,200000,700000,0.78,0.9,9,8
0.005,0.015,100,20,20000,1800000,0.77,0.83,10,13
0.005,0.004,100,20,0,1400000,0.85,0.72,13,8
0.013,0.013,100,20,100000,1200000,0.71,0.72,13,13
0.009,0.008,100,20,50000,1000000,0.87,0.85,11,9
0.014,0.005,100,20,200000,1600000,0.79,0.7,9,10
0.011,0.005,100,20,1000,1400000,0.88,0.84,8,13
0.012,0.009,100,20,200000,500000,0.8,0.87,10,10
0.013,0.009,100,20,200000,1600000,0.86,0.9,13,9
0.006,0.008,100,20,20000,1200000,0.82,0.9,7,9
0.01,0.011,100,20,100000,1000000,0.87,0.9,8,13
0.009,0.012,100,20,100000,1600000,0.86,0.73,10,12
0.015,0.011,100,20,0,1800000,0.81,0.9,7,12
0.006,0.01,100,20,200000,1200000,0.9,0.79,10,11
0.014,0.008,100,20,0,1400000,0.75,0.89,13,9
0.011,0.015,100,20,1000,1600000,0.71,0.85,7,11
0.014,0.007,100,20,0,700000,0.88,0.79,13,13
0.012,0.013,100,20,100000,1600000,0.73,0.88,11,10
0.004,0.01,100,20,20000,1600000,0.72,0.85,11,13
0.01,0.014,100,20,50000,500000,0.81,0.9,7,11
0.015,0.007,100,20,100000,2000000,0.71,0.75,10,7
0.005,0.006,100,20,1000,1600000,0.88,0.86,11,11
0.008,0.005,100,20,1000,1800000,0.83,0.9,11,7
0.015,0.013,100,20,0,1000000,0.83,0.88,12,9
0.008,0.005,100,20,1000,1000000,0.81,0.82,8,10
0.009,0.011,100,20,0,2000000,0.78,0.8,8,12
0.008,0.013,100,20,200000,900000,0.9,0.71,11,8
0.012,0.009,100,20,100000,1200000,0.85,0.89,7,13
0.014,0.008,100,20,1000,900000,0.73,0.71,13,13
0.009,0.011,100,20,0,900000,0.82,0.79,10,10
0.014,0.01,100,20,100000,1000000,0.81,0.87,8,12
0.011,0.009,100,20,200000,1000000,0.81,0.76,7,10
0.014,0.009,100,20,1000,1600000,0.79,0.86,13,7
0.01,0.005,100,20,10000,500000,0.72,0.88,9,8
0.015,0.004,100,20,100000,1000000,0.77,0.7,12,9
0.015,0.004,100,20,20000,500000,0.84,0.74,8,9
