0.014,0.012,100,20,0,1600000,2,4,1,0.84,0.13
0.007,0.009,100,20,200000,500000,10,10,3,0.78,0.1
0.012,0.015,100,20,100000,1800000,14,8,1,0.9,0.3
0.011,0.012,100,20,20000,1200000,11,7,8,0.82,0.11
0.006,0.008,100,20,20000,1400000,6,5,10,0.7,0.12
0.008,0.014,100,20,10000,1400000,10,2,2,0.9,0.1
0.014,0.007,100,20,0,1600000,14,9,1,0.7,0.18
0.006,0.008,100,20,50000,1800000,4,7,5,0.72,0.29
0.006,0.013,100,20,1000,1000000,11,9,1,0.9,0.29
0.015,0.009,100,20,50000,1600000,6,2,4,0.85,0.11
0.012,0.005,100,20,10000,1400000,6,3,10,0.9,0.3
0.005,0.008,100,20,200000,500000,7,4,3,0.77,0.22
0.012,0.011,100,20,100000,700000,2,5,7,0.76,0.28
0.012,0.011,100,20,10000,500000,6,8,7,0.82,0.19
0.011,0.004,100,20,20000,1400000,4,9,10,0.81,0.27
0.011,0.005,100,20,0,900000,5,5,6,0.77,0.29
0.013,0.015,100,20,1000,700000,7,4,2,0.8,0.26
0.011,0.011,100,20,100000,1000000,14,9,10,0.89,0.15
0.007,0.006,100,20,10000,1600000,3,11,5,0.89,0.13
0.006,0.014,100,20,0,900000,2,4,5,0.78,0.23
0.006,0.011,100,20,200000,2000000,11,6,3,0.83,0.25
0.014,0.015,100,20,50000,1000000,4,7,7,0.78,0.16
0.004,0.011,100,20,100000,1200000,2,9,7,0.86,0.15
0.015,0.015,100,20,1000,2000000,6,4,4,0.71,0.21
0.009,0.011,100,20,10000,1800000,9,8,9,0.7,0.25
0.01,0.011,100,20,0,1600000,10,7,9,0.87,0.14
0.006,0.008,100,20,10000,2000000,5,13,1,0.87,0.24
0.012,0.005,100,20,1000,1400000,14,4,8,0.8,0.22
0.015,0.012,100,20,50000,2000000,14,11,5,0.9,0.19
0.015,0.006,100,20,1000,700000,9,6,1,0.81,0.25
0.005,0.014,100,20,100000,700000,9,7,7,0.8,0.26
0.011,0.009,100,20,1000,2000000,12,13,1,0.72,0.23
0.01,0.006,100,20,20000,700000,4,2,5,0.7,0.2
0.007,0.01,100,20,100000,2000000,7,10,6,0.84,0.23
0.014,0.013,100,20,0,900000,13,8,1,0.82,0.22
0.01,0.013,100,20,10000,700000,5,8,10,0.72,0.26
0.014,0.009,100,20,20000,2000000,10,6,9,0.78,0.18
