
0.004,0.007,100,20,50000,900000,0.85,0.71,13,11
0.01,0.015,100,20,10000,1400000,0.76,0.74,12,8
0.009,0.005,100,20,20000,1200000,0.89,0.88,12,12
0.006,0.01,100,20,10000,700000,0.86,0.73,7,13
0.015,0.012,100,20,20000,2000000,0.89,0.87,13,7
0.011,0.008,100,20,100000,900000,0.76,0.77,9,7
0.013,0.012,100,20,100000,500000,0.87,0.75,13,13
0.008,0.014,100,20,0,700000,0.72,0.81,8,10
0.006,0.01,100,20,1000,1000000,0.84,0.78,12,8
0.005,0.005,100,20,200000,900000,0.76,0.82,11,11
0.014,0.014,100,20,10000,1200000,0.89,0.9,11,8
0.011,0.015,100,20,0,500000,0.71,0.8,7,9
0.005,0.01,100,20,200000,1200000,0.82,0.76,13,7
0.006,0.008,100,20,1000,1400000,0.77,0.78,13,10
0.013,0.007,100,20,200000,1000000,0.86,0.74,13,12
0.009,0.014,100,20,10000,500000,0.71,0.82,13,11
0.005,0.011,100,20,1000,2000000,0.83,0.74,11,10
0.012,0.01,100,20,10000,1200000,0.72,0.74,12,10
0.008,0.011,100,20,200000,700000,0.76,0.71,13,7
0.011,0.01,100,20,20000,1200000,0.72,0.82,12,13
0.014,0.008,100,20,20000,700000,0.79,0.86,12,9
0.005,0.011,100,20,200000,1600000,0.9,0.75,12,11
0.007,0.004,100,20,20000,500000,0.88,0.88,9,9
0.012,0.005,100,20,1000,1400000,0.8,0.81,11,10
0.014,0.014,100,20,200000,1400000,0.83,0.88,12,11
0.006,0.007,100,20,20000,1200000,0.75,0.85,12,10
0.011,0.007,100,20,50000,1600000,0.9,0.89,7,10
0.007,0.014,100,20,20000,1400000,0.78,0.82,13,8
0.015,0.011,100,20,200000,500000,0.73,0.72,11,8
0.004,0.006,100,20,10000,1000000,0.83,0.82,9,7
0.012,0.009,100,20,10000,900000,0.72,0.88,13,8
0.008,0.012,100,20,50000,1000000,0.7,0.83,10,12
0.004,0.01,100,20,0,500000,0.75,0.82,9,10
0.007,0.01,100,20,100000,500000,0.82,0.86,13,9
0.004,0.007,100,20,100000,900000,0.86,0.84,8,7
0.01,0.013,100,20,100000,500000,0.81,0.89,10,9
0.01,0.011,100,20,20000,1800000,0.82,0.72,13,13
0.011,0.011,100,20,0,900000,0.82,0.81,11,7
0.005,0.013,100,20,100000,1800000,0.75,0.79,9,10
0.013,0.005,100,20,1000,1600000,0.83,0.78,12,8
0.004,0.013,100,20,0,1000000,0.79,0.8,10,13
0.006,0.004,100,20,200000,700000,0.79,0.78,12,9
0.008,0.012,100,20,100000,1600000,0.83,0.76,9,12
0.009,0.009,100,20,1000,1400000,0.7,0.81,8,10
0.01,0.015,100,20,100000,2000000,0.79,0.8,11,7
0.007,0.008,100,20,200000,1200000,0.79,0.85,7,12
0.007,0.004,100,20,50000,1600000,0.84,0.74,13,8
0.014,0.01,100,20,10000,1400000,0.9,0.72,8,7
0.004,0.009,100,20,1000,700000,0.9,0.9,9,9
0.008,0.01,100,20,1000,1600000,0.87,0.78,10,10
