0.013,0.008,100,20,200000,700000,11,9,1
0.007,0.013,100,20,1000,700000,5,5,6
0.013,0.007,100,20,20000,2000000,7,10,9
0.009,0.012,100,20,50000,1800000,12,3,10
0.015,0.004,100,20,100000,1600000,6,8,3
0.012,0.008,100,20,1000,1000000,12,5,1
0.012,0.012,100,20,0,2000000,10,7,9
0.008,0.015,100,20,20000,1000000,3,2,4
0.01,0.014,100,20,200000,1600000,13,12,7
0.006,0.013,100,20,0,1200000,8,10,7
0.012,0.007,100,20,50000,1200000,5,10,6
0.006,0.004,100,20,0,1800000,12,9,9
0.004,0.004,100,20,200000,700000,6,6,5
0.009,0.01,100,20,50000,2000000,14,2,6
0.005,0.011,100,20,10000,1400000,5,6,3
0.009,0.009,100,20,50000,700000,12,13,10
0.011,0.005,100,20,100000,1400000,8,4,7
0.004,0.004,100,20,200000,1800000,13,13,4
0.005,0.012,100,20,10000,700000,10,5,9
0.015,0.014,100,20,0,1000000,6,10,4
0.006,0.006,100,20,200000,1400000,7,5,4
0.013,0.006,100,20,100000,1400000,7,2,5
0.015,0.01,100,20,100000,2000000,3,7,3
0.012,0.004,100,20,100000,1200000,10,10,4
0.009,0.011,100,20,1000,700000,9,5,3
0.015,0.011,100,20,50000,1800000,11,4,2
0.006,0.011,100,20,50000,700000,8,14,9
0.014,0.013,100,20,1000,1200000,14,2,9
0.004,0.004,100,20,20000,700000,2,9,4
0.01,0.008,100,20,200000,1000000,7,6,7
0.013,0.015,100,20,200000,1200000,9,7,10
0.015,0.012,100,20,0,1800000,13,12,2
0.013,0.007,100,20,200000,1200000,6,8,8
0.015,0.008,100,20,100000,500000,13,10,5
0.014,0.015,100,20,50000,700000,8,9,1
0.01,0.006,100,20,10000,900000,7,11,4
0.013,0.01,100,20,100000,1600000,8,5,4
0.007,0.014,100,20,0,1600000,6,8,3
0.014,0.015,100,20,100000,1000000,5,4,4
0.011,0.012,100,20,20000,700000,5,9,9
0.012,0.009,100,20,50000,1800000,13,8,1
0.01,0.008,100,20,1000,2000000,2,13,3
0.004,0.01,100,20,1000,2000000,2,12,5
0.007,0.006,100,20,200000,700000,13,7,5
0.013,0.006,100,20,200000,900000,14,14,6
0.006,0.004,100,20,0,700000,10,4,4
0.011,0.014,100,20,50000,1800000,6,2,5
0.014,0.008,100,20,50000,900000,4,9,6
0.013,0.013,100,20,50000,900000,6,7,8
0.008,0.012,100,20,100000,1200000,4,9,5
0.011,0.01,100,20,50000,2000000,7,5,3
0.007,0.013,100,20,100000,700000,8,9,8
0.009,0.013,100,20,200000,900000,6,8,10
0.012,0.006,100,20,200000,1400000,4,13,7
0.011,0.012,100,20,100000,1400000,4,8,6
0.012,0.01,100,20,100000,1400000,3,11,2
0.012,0.013,100,20,20000,1000000,5,14,6
0.015,0.011,100,20,50000,700000,9,13,7
0.005,0.013,100,20,100000,1800000,9,2,8
0.013,0.006,100,20,0,2000000,6,2,6
0.008,0.004,100,20,200000,1200000,7,10,6
0.009,0.012,100,20,20000,1600000,5,8,1
0.008,0.006,100,20,200000,500000,4,14,7
0.012,0.008,100,20,200000,1200000,10,3,5
0.004,0.011,100,20,100000,1400000,8,11,8
0.008,0.011,100,20,1000,1800000,9,9,10
0.005,0.01,100,20,10000,1400000,3,2,4
0.011,0.007,100,20,1000,700000,11,5,9
0.011,0.007,100,20,0,700000,4,2,7
0.011,0.015,100,20,50000,1400000,14,5,5
0.006,0.008,100,20,200000,1000000,14,9,6
0.009,0.012,100,20,200000,1200000,9,12,8
0.008,0.012,100,20,100000,900000,6,9,1
0.009,0.013,100,20,0,1600000,13,14,9
0.014,0.009,100,20,50000,1000000,13,12,6
0.01,0.005,100,20,200000,900000,11,9,6
0.014,0.005,100,20,200000,1600000,11,8,8
0.01,0.009,100,20,200000,900000,10,9,2
0.013,0.005,100,20,50000,1000000,10,8,3
0.012,0.006,100,20,50000,700000,12,12,9
0.01,0.005,100,20,20000,1400000,9,4,9
0.013,0.004,100,20,50000,1400000,13,8,10
0.015,0.013,100,20,10000,500000,13,12,6
0.01,0.005,100,20,20000,1200000,2,9,10
0.01,0.012,100,20,1000,1800000,10,5,6
0.006,0.009,100,20,10000,1400000,7,14,9
0.006,0.011,100,20,0,500000,4,9,5
0.015,0.012,100,20,200000,1000000,7,11,2
0.006,0.014,100,20,10000,700000,2,5,3
0.008,0.009,100,20,50000,500000,12,3,9
0.005,0.01,100,20,50000,1000000,11,2,5
0.013,0.006,100,20,10000,1800000,7,12,2
0.007,0.015,100,20,1000,2000000,4,5,5
0.009,0.011,100,20,1000,1800000,2,4,1
0.013,0.011,100,20,20000,900000,12,7,9
0.015,0.01,100,20,0,1400000,8,13,8
0.004,0.008,100,20,50000,1600000,9,6,2
0.013,0.012,100,20,50000,2000000,13,7,5
0.006,0.015,100,20,10000,1200000,3,4,9
0.015,0.009,100,20,200000,1200000,11,8,2
